Date,Fund ISIN,Fund Name,Fund Weight,Security Name,Security Weight,Security Asset type,Security Sector,Security ISIN,Security Bloomberg Ticker
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Bajaj Finance Ltd.,0.004523175,Domestic Equities,Finance,INE296A01032,BAF IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Cipla Ltd.,0.00139538,Domestic Equities,Healthcare,INE059A01026,CIPLA IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,State Bank Of India,0.004713167,Domestic Equities,Bank,INE062A01020,SBIN IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Titan Company Ltd.,0.002517842,Domestic Equities,Diamond  &  Jewellery,INE280A01028,TTAN IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Dr. Reddy's Laboratories Ltd.,0.001219431,Domestic Equities,Healthcare,INE089A01031,DRRD IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,HDFC Bank Ltd.,0.014476555,Domestic Equities,Bank,INE040A01034,HDFCB IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Hero MotoCorp Ltd.,0.000766418,Domestic Equities,Automobile & Ancillaries,INE158A01026,HMCL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Infosys Ltd.,0.011976592,Domestic Equities,IT,INE009A01021,INFO IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,JSW Steel Ltd.,0.001378323,Domestic Equities,Iron & Steel,INE019A01038,JSTL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Kotak Mahindra Bank Ltd.,0.006187201,Domestic Equities,Bank,INE237A01036,KMB IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Grasim Industries Ltd.,0.001454718,Domestic Equities,Diversified,INE047A01021,GRASIM IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Oil & Natural Gas Corporation Ltd.,0.001144612,Domestic Equities,Crude Oil,INE213A01029,ONGC IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Reliance Industries Ltd.,0.018989422,Domestic Equities,Crude Oil,INE002A01018,RELIANCE IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Hindalco Industries Ltd.,0.001320445,Domestic Equities,Non - Ferrous Metals,INE038A01020,HNDL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Tata Steel Ltd.,0.001853931,Domestic Equities,Iron & Steel,INE081A01020,TATA IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Larsen & Toubro Ltd.,0.005168324,Domestic Equities,Infrastructure,INE018A01030,LT IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Mahindra & Mahindra Ltd.,0.002809935,Domestic Equities,Automobile & Ancillaries,INE101A01026,MM IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Bharat Petroleum Corporation Ltd.,0.000673395,Domestic Equities,Crude Oil,INE029A01011,BPCL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Tata Motors Passenger Vehicles Ltd.,0.00167958,Domestic Equities,Automobile & Ancillaries,INE155A01022,TMPV IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Hindustan Unilever Ltd.,0.005572504,Domestic Equities,FMCG,INE030A01027,HUVR IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Nestle India Ltd.,0.001580343,Domestic Equities,FMCG,INE239A01024,NEST IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Tata Consumer Products Ltd.,0.001113125,Domestic Equities,Agri,INE192A01025,TATACONS IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Asian Paints Ltd.,0.003487819,Domestic Equities,Chemicals,INE021A01026,APNT IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Britannia Industries Ltd.,0.001049962,Domestic Equities,FMCG,INE216A01030,BRIT IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,ITC Ltd.,0.006769193,Domestic Equities,FMCG,INE154A01025,ITC IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Eicher Motors Ltd.,0.001185281,Domestic Equities,Automobile & Ancillaries,INE066A01021,EIM IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Wipro Ltd.,0.001351581,Domestic Equities,IT,INE075A01022,WPRO IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Apollo Hospitals Enterprise Ltd.,0.001035782,Domestic Equities,Healthcare,INE437A01024,APHS IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,UPL Ltd.,0.000829038,Domestic Equities,Chemicals,INE628A01036,UPLL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Adani Enterprises Ltd.,0.002188532,Domestic Equities,Trading,INE423A01024,ADE IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Sun Pharmaceutical Industries Ltd.,0.002370771,Domestic Equities,Healthcare,INE044A01036,SUNP IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,ICICI Bank Ltd.,0.013901561,Domestic Equities,Bank,INE090A01021,ICICIBC IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,IndusInd Bank Ltd.,0.001786442,Domestic Equities,Bank,INE095A01012,IIB IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Axis Bank Ltd.,0.004483528,Domestic Equities,Bank,INE238A01034,AXSB IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,HCL Technologies Ltd.,0.002283921,Domestic Equities,IT,INE860A01027,HCLT IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Bharti Airtel Ltd.,0.004532145,Domestic Equities,Telecom,INE397D01024,BHARTI IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Divi's Laboratories Ltd.,0.001092733,Domestic Equities,Healthcare,INE361B01024,DIVI IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Maruti Suzuki India Ltd.,0.002716,Domestic Equities,Automobile & Ancillaries,INE585B01010,MSIL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Ultratech Cement Ltd.,0.001671703,Domestic Equities,Construction Materials,INE481G01011,UTCEM IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Tata Consultancy Services Ltd.,0.007125079,Domestic Equities,IT,INE467B01029,TCS IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,NTPC Ltd.,0.001755797,Domestic Equities,Power,INE733E01010,NTPC IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Tech Mahindra Ltd.,0.001476739,Domestic Equities,IT,INE669C01036,TECHM IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Power Grid Corporation Of India Ltd.,0.001678811,Domestic Equities,Power,INE752E01010,PWGR IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Adani Ports and Special Economic Zone Ltd.,0.001364236,Domestic Equities,Logistics,INE742F01042,ADSEZ IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Bajaj Auto Ltd.,0.001046924,Domestic Equities,Automobile & Ancillaries,INE917I01010,BJAUT IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Bajaj Finserv Ltd.,0.002351335,Domestic Equities,Finance,INE918I01026,BJFIN IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,SBI Life Insurance Company Ltd.,0.001303388,Domestic Equities,Insurance,INE123W01016,SBILIFE IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Reverse Repo,8.70151E-05,Cash & Cash Equivalents and Net Assets,Others,,
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Net Current Asset,-0.000376588,Cash & Cash Equivalents and Net Assets,Others,,
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,HDFC Life Insurance Company Ltd.,0.00116101,Domestic Equities,Insurance,INE795G01014,HDFCLIFE IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Coal India Ltd.,0.001029415,Domestic Equities,Mining,INE522F01014,COAL IN
30-09-2022,INF179K01KZ8,HDFC Nifty 50 Index Fund(G),0.175,Tri-Party Repo (TREPS),0.00014307,Cash & Cash Equivalents and Net Assets,Miscellaneous,,
30-09-2022,INF277K015O2,Tata Small Cap Fund-Reg(G),0.175,BASF India Ltd.,0.006896945,Domestic Equities,Chemicals,INE373A01013,BASF IN
30-09-2022,INF277K015O2,Tata Small Cap Fund-Reg(G),0.175,Elantas Beck India Ltd.,0.00512328,Domestic Equities,Chemicals,INE280B01018,EBECK IN
30-09-2022,INF277K015O2,Tata Small Cap Fund-Reg(G),0.175,Finolex Cables Ltd.,0.0025561,Domestic Equities,Electricals,INE235A01022,FNXC IN
30-09-2022,INF277K015O2,Tata Small Cap Fund-Reg(G),0.175,Sundrop Brands Ltd.,0.005058839,Domestic Equities,FMCG,INE209A01019,SUNDROP IN 
30-09-2022,INF277K015O2,Tata Small Cap Fund-Reg(G),0.175,KSB Ltd.,0.003614337,Domestic Equities,Capital Goods,INE999A01023,KSB IN
30-09-2022,INF277K015O2,Tata Small Cap Fund-Reg(G),0.175,NCC Ltd.,0.001904315,Domestic Equities,Infrastructure,INE868B01028,NJCC IN
